set_id,IMAGE_VERSION_1,IMAGE_VERSION_2,IMAGE_VERSION_3,year,season,product_type,category
7,https://static.zara.net/photos///2023/I/0/3/p/2335/330/658/2/w/2048/2335330658_6_1_1.jpg?ts=1697035257419,https://static.zara.net/photos///2023/I/0/3/p/2335/330/658/2/w/2048/2335330658_6_2_1.jpg?ts=1697035256927,https://static.zara.net/photos///2023/I/0/3/p/2335/330/658/2/w/2048/2335330658_3_1_1.jpg?ts=1697035257225,2023,W,0,3
13,https://static.zara.net/photos///2023/I/1/3/p/1120/230/002/2/w/2048/1120230002_6_1_1.jpg?ts=1689164071469,https://static.zara.net/photos///2023/I/1/3/p/1120/230/002/2/w/2048/1120230002_6_2_1.jpg?ts=1689164071456,https://static.zara.net/photos///2023/I/1/3/p/1120/230/002/2/w/2048/1120230002_3_1_1.jpg?ts=1683629514201,2023,W,1,3
16,https://static.zara.net/photos///2023/I/0/3/p/9959/552/721/2/w/2048/9959552721_6_1_1.jpg?ts=1698929412065,https://static.zara.net/photos///2023/I/0/3/p/9959/552/721/2/w/2048/9959552721_6_2_1.jpg?ts=1698929412326,https://static.zara.net/photos///2023/I/0/3/p/9959/552/721/2/w/2048/9959552721_3_1_1.jpg?ts=1698929407195,2023,W,0,3
18,https://static.zara.net/photos///2023/V/0/3/p/0485/633/300/2/w/2048/0485633300_6_1_1.jpg?ts=1681309241076,https://static.zara.net/photos///2023/V/0/3/p/0485/633/300/2/w/2048/0485633300_6_2_1.jpg?ts=1681309242636,https://static.zara.net/photos///2023/V/0/3/p/0485/633/300/2/w/2048/0485633300_3_1_1.jpg?ts=1679991575232,2023,S,0,3
35,https://static.zara.net/photos///2023/I/0/3/p/0039/678/800/2/w/2048/0039678800_6_1_1.jpg?ts=1692625465132,https://static.zara.net/photos///2023/I/0/3/p/0039/678/800/2/w/2048/0039678800_6_2_1.jpg?ts=1692625464452,https://static.zara.net/photos///2023/I/0/3/p/0039/678/800/2/w/2048/0039678800_3_1_1.jpg?ts=1692625464746,2023,W,0,3
49,https://static.zara.net/photos///2023/V/0/3/p/5507/600/704/2/w/2048/5507600704_6_1_1.jpg?ts=1671119880322,https://static.zara.net/photos///2023/V/0/3/p/5507/600/704/2/w/2048/5507600704_6_2_1.jpg?ts=1671119880202,https://static.zara.net/photos///2023/V/0/3/p/5507/600/704/2/w/1821/5507600704_3_1_1.jpg?ts=1671112800000,2023,S,0,3
51,https://static.zara.net/photos///2023/I/0/3/p/2496/689/620/2/w/2048/2496689620_6_1_1.jpg?ts=1689754945696,https://static.zara.net/photos///2023/I/0/3/p/2496/689/620/2/w/2048/2496689620_6_2_1.jpg?ts=1689754946973,https://static.zara.net/photos///2023/I/0/3/p/2496/689/620/2/w/2048/2496689620_3_1_1.jpg?ts=1689844636305,2023,W,0,3
53,https://static.zara.net/photos///2023/I/0/3/p/6048/558/712/2/w/2048/6048558712_6_1_1.jpg?ts=1690969626202,https://static.zara.net/photos///2023/I/0/3/p/6048/558/712/2/w/2048/6048558712_6_2_1.jpg?ts=1690969623291,https://static.zara.net/photos///2023/I/0/3/p/6048/558/712/2/w/2048/6048558712_3_1_1.jpg?ts=1688464395088,2023,W,0,3
54,https://static.zara.net/photos///2023/I/0/3/p/5350/761/712/2/w/2048/5350761712_6_1_1.jpg?ts=1692859991049,https://static.zara.net/photos///2023/I/0/3/p/5350/761/712/2/w/2048/5350761712_6_2_1.jpg?ts=1692859991524,https://static.zara.net/photos///2023/I/0/3/p/5350/761/712/2/w/2048/5350761712_3_1_1.jpg?ts=1692859994219,2023,W,0,3
69,https://static.zara.net/photos///2023/I/1/2/p/2042/220/800/2/w/2048/2042220800_6_1_1.jpg?ts=1694610291879,https://static.zara.net/photos///2023/I/1/2/p/2042/220/800/2/w/2048/2042220800_6_2_1.jpg?ts=1694610291898,https://static.zara.net/photos///2023/I/1/2/p/2042/220/800/2/w/2048/2042220800_3_1_1.jpg?ts=1694610291908,2023,W,1,2
78,https://static.zara.net/photos///2023/I/0/3/p/0722/795/712/2/w/2048/0722795712_6_1_1.jpg?ts=1691142812183,https://static.zara.net/photos///2023/I/0/3/p/0722/795/712/2/w/2048/0722795712_6_2_1.jpg?ts=1691142812142,https://static.zara.net/photos///2023/I/0/3/p/0722/795/712/2/w/2048/0722795712_3_1_1.jpg?ts=1691142811973,2023,W,0,3
81,https://static.zara.net/photos///2023/I/0/3/p/4428/772/824/2/w/2048/4428772824_6_1_1.jpg?ts=1697447513734,https://static.zara.net/photos///2023/I/0/3/p/4428/772/824/2/w/2048/4428772824_6_2_1.jpg?ts=1697447513748,https://static.zara.net/photos///2023/I/0/3/p/4428/772/824/2/w/2048/4428772824_3_1_1.jpg?ts=1697447513554,2023,W,0,3
87,https://static.zara.net/photos///2023/I/0/2/p/3332/300/712/2/w/2048/3332300712_6_1_1.jpg?ts=1690196395378,https://static.zara.net/photos///2023/I/0/2/p/3332/300/712/2/w/2048/3332300712_6_2_1.jpg?ts=1690196395544,https://static.zara.net/photos///2023/I/0/2/p/3332/300/712/2/w/2048/3332300712_3_1_1.jpg?ts=1690196399411,2023,W,0,2
91,https://static.zara.net/photos///2023/I/0/3/p/4701/794/800/2/w/2048/4701794800_6_1_1.jpg?ts=1688714802523,https://static.zara.net/photos///2023/I/0/3/p/4701/794/800/2/w/2048/4701794800_6_2_1.jpg?ts=1688714802579,https://static.zara.net/photos///2023/I/0/3/p/4701/794/800/2/w/2048/4701794800_3_1_1.jpg?ts=1688714801968,2023,W,0,3
101,https://static.zara.net/photos///2023/I/0/1/p/0002/240/802/14/w/2048/0002240802_1_1_1.jpg?ts=1702558358416,https://static.zara.net/photos///2024/V/0/1/p/0002/240/802/14/w/2048/0002240802_1_1_1.jpg?ts=1702558686358,https://static.zara.net/photos///2023/I/0/1/p/0002/240/802/2/w/2048/0002240802_3_1_1.jpg?ts=1689257779509,2023,W,0,1
116,https://static.zara.net/photos///2023/I/0/3/p/1554/749/711/2/w/2048/1554749711_6_1_1.jpg?ts=1693295759980,https://static.zara.net/photos///2023/I/0/3/p/1554/749/711/2/w/2048/1554749711_6_2_1.jpg?ts=1691074212148,https://static.zara.net/photos///2023/I/0/3/p/1554/749/711/2/w/2048/1554749711_3_1_1.jpg?ts=1692631725344,2023,W,0,3
135,https://static.zara.net/photos///2023/I/0/3/p/0257/704/506/2/w/2048/0257704506_6_1_1.jpg?ts=1691422139807,https://static.zara.net/photos///2023/I/0/3/p/0257/704/506/2/w/2048/0257704506_6_2_1.jpg?ts=1691422139906,https://static.zara.net/photos///2023/I/0/3/p/0257/704/506/2/w/2048/0257704506_3_1_1.jpg?ts=1691422139850,2023,W,0,3
144,https://static.zara.net/photos///2023/I/0/1/p/5039/371/800/21/w/2048/5039371800_1_1_1.jpg?ts=1692889996770,https://static.zara.net/photos///2023/I/0/1/p/5039/371/800/21/w/2048/5039371800_2_1_1.jpg?ts=1692889997394,https://static.zara.net/photos///2023/V/0/1/p/5039/371/800/2/w/3330/5039371800_3_1_1.jpg?ts=1671616800000,2023,W,0,1
148,https://static.zara.net/photos///2023/S/0/1/p/0962/386/044/2/w/2048/0962386044_6_1_1.jpg?ts=1692863994666,https://static.zara.net/photos///2023/S/0/1/p/0962/386/044/2/w/2048/0962386044_6_2_1.jpg?ts=1692863994670,https://static.zara.net/photos///2023/S/0/1/p/0962/386/044/2/w/2048/0962386044_3_1_1.jpg?ts=1692863992631,2023,S,0,1
149,https://static.zara.net/photos///2023/I/4/1/p/6353/047/800/2/w/2048/6353047800_6_1_1.jpg?ts=1689942993686,https://static.zara.net/photos///2023/I/4/1/p/6353/047/800/2/w/2048/6353047800_6_2_1.jpg?ts=1689942994455, ,2023,W,4,1
152,https://static.zara.net/photos///2023/I/0/3/p/1716/714/620/2/w/2048/1716714620_6_1_1.jpg?ts=1690206386205,https://static.zara.net/photos///2023/I/0/3/p/1716/714/620/2/w/2048/1716714620_6_2_1.jpg?ts=1690206383701,https://static.zara.net/photos///2023/I/0/3/p/1716/714/620/2/w/2048/1716714620_3_1_1.jpg?ts=1690206387008,2023,W,0,3
160,https://static.zara.net/photos///2023/I/0/3/p/1506/550/745/2/w/2048/1506550745_6_1_1.jpg?ts=1690902611477,https://static.zara.net/photos///2023/I/0/3/p/1506/550/745/2/w/2048/1506550745_6_2_1.jpg?ts=1690902611464,https://static.zara.net/photos///2023/I/0/3/p/1506/550/745/2/w/2048/1506550745_3_1_1.jpg?ts=1690902611486,2023,W,0,3
166,https://static.zara.net/photos///2023/S/1/2/p/3115/220/800/2/w/2048/3115220800_6_1_1.jpg?ts=1690358758910,https://static.zara.net/photos///2023/S/1/2/p/3115/220/800/2/w/2048/3115220800_6_2_1.jpg?ts=1690358759006,https://static.zara.net/photos///2023/S/1/2/p/3115/220/800/2/w/2048/3115220800_3_1_1.jpg?ts=1690358759127,2023,S,1,2
168,https://static.zara.net/photos///2023/I/0/3/p/4110/550/407/2/w/2048/4110550407_6_1_1.jpg?ts=1688377585417,https://static.zara.net/photos///2023/I/0/3/p/4110/550/407/2/w/2048/4110550407_6_2_1.jpg?ts=1688377585895,https://static.zara.net/photos///2023/I/0/3/p/4110/550/407/2/w/2048/4110550407_3_1_1.jpg?ts=1688377588122,2023,W,0,3
171,https://static.zara.net/photos///2023/I/0/2/p/7147/302/052/2/w/2048/7147302052_6_1_1.jpg?ts=1691483381163,https://static.zara.net/photos///2023/I/0/2/p/7147/302/052/2/w/2048/7147302052_6_2_1.jpg?ts=1691483380933,https://static.zara.net/photos///2023/I/0/2/p/7147/302/052/2/w/2048/7147302052_3_1_1.jpg?ts=1691483380858,2023,W,0,2
177,https://static.zara.net/photos///2023/I/0/2/p/5593/532/800/2/w/2048/5593532800_6_1_1.jpg?ts=1692862419633,https://static.zara.net/photos///2023/I/0/2/p/5593/532/800/2/w/2048/5593532800_6_2_1.jpg?ts=1692862419636,https://static.zara.net/photos///2023/I/0/2/p/5593/532/800/2/w/2048/5593532800_3_1_1.jpg?ts=1692862421096,2023,W,0,2
179,https://static.zara.net/photos///2023/V/0/3/p/1880/556/612/2/w/2048/1880556612_6_1_1.jpg?ts=1669734929596,https://static.zara.net/photos///2023/V/0/3/p/1880/556/612/2/w/2048/1880556612_6_2_1.jpg?ts=1669734932584,https://static.zara.net/photos///2023/V/0/3/p/1880/556/612/2/w/1557/1880556612_3_1_1.jpg?ts=1669730400000,2023,S,0,3
